17:19:44.127 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
17:19:44.158 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
17:20:40.365 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
17:20:40.396 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
17:20:42.954 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:366] | Recieving Event: LayerChange
17:20:42.954 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
17:21:16.213 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:310] | Shapefile: hrus.shp|Y:\Documents\BA-Arbeit\jamsmodelsdata\JAMS-Gehlberg\input\local\gis\hrus\hrus.shp
17:26:27.933 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:310] | Shapefile: hrus.shp|Y:\Documents\BA-Arbeit\jamsmodelsdata\JAMS-Gehlberg\input\local\gis\hrus\hrus.shp
11:45:26.780 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
11:45:26.827 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
11:45:29.401 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:366] | Recieving Event: LayerChange
11:45:29.401 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
12:57:43.729 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
12:57:43.885 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
13:00:34.129 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
13:00:34.160 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
13:02:39.825 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
13:02:39.871 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
13:05:43.163 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
13:05:43.537 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
13:40:27.228 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
13:40:27.338 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
13:44:43.967 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
13:44:44.029 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
13:45:33.419 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
13:45:33.419 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
13:56:02.114 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
13:56:02.161 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
17:24:58.119 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
17:24:58.166 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
17:25:00.771 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
17:25:00.771 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
17:25:21.160 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListItemTransferHandler.java:89] | Update WorldWind Layers
17:25:27.291 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListItemTransferHandler.java:89] | Update WorldWind Layers
17:28:42.276 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
17:28:42.322 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
17:28:45.021 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
17:28:45.037 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
17:31:27.013 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
17:31:27.044 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
17:31:29.744 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
17:31:29.744 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
17:34:07.382 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
17:34:07.428 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
17:34:10.191 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
17:34:10.191 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
17:38:48.319 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
17:38:48.350 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
17:38:50.955 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
17:38:50.955 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
17:40:14.384 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
17:40:14.415 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
17:40:17.114 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
17:40:17.130 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
17:47:10.889 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
17:47:10.920 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
17:47:13.650 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
17:47:13.650 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
17:51:27.415 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
17:51:27.462 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
17:51:30.036 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
17:51:30.036 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
17:53:05.805 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
17:53:05.836 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
17:53:08.426 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
17:53:08.426 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
17:55:25.271 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
17:55:25.334 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
17:55:28.174 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
17:55:28.174 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
19:04:35.263 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
19:04:35.326 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
19:04:38.290 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
19:04:38.305 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
10:57:08.502 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
10:57:08.533 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
10:57:11.700 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
10:57:11.700 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
10:59:14.741 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
10:59:14.772 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
10:59:17.424 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
10:59:17.424 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
11:04:25.820 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
11:04:25.867 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
11:04:28.597 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
11:04:28.597 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
11:07:48.482 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
